1, aa, NN, 3.0
28, ab, NN, 3.0
1205, ac, NN, 3.0
3390, ad, NN, 3.0
4744, ae, NN, 3.0
5257, af, NN, 3.0
5809, ag, NN, 3.0
6613, ah, NN, 3.0
6678, ai, NN, 3.0
6679, ay, NN, 3.0
7102, ak, NN, 3.0
7213, al, NN, 3.0
9709, am, VBP, 3.0
11442, an, DT, 3.0
16556, ao, NN, 3.0
16606, ap, NN, 3.0
18146, aq, NN, 3.0
18281, ar, NN, 3.0
20819, as, IN, 3.0
22347, at, IN, 3.0
24532, av, NN, 3.0
24889, aw, NN, 3.0
25045, ax, NN, 3.0
25191, az, NN, 3.0
25389, ba, NN, 3.0
29272, bb, NN, 3.0
29280, bd, NN, 3.0
29303, be, VB, 3.0
33013, bf, NN, 3.0
33014, bg, NN, 3.0
33082, bi, NN, 3.0
33083, by, IN, 3.0
35341, bk, NN, 3.0
35351, bl, NN, 3.0
36840, bm, NN, 3.0
36841, bn, NN, 3.0
36843, bo, NN, 3.0
39206, bp, NN, 3.0
39210, br, NN, 3.0
41772, bs, NN, 3.0
41776, bt, NN, 3.0
41781, bu, NN, 3.0
43681, bv, NN, 3.0
43685, bx, NN, 3.0
43687, bz, NN, 3.0
43688, c, NNS, 1.5
43689, ca, MD, 3.0
50137, cb, NN, 3.0
50138, cc, NN, 3.0
50148, cd, NN, 3.0
50152, ce, NN, 3.0
51663, cf, NN, 3.0
51669, cg, NN, 3.0
51672, ch, NN, 3.0
56627, cy, NN, 3.0
58810, ck, NN, 3.0
58812, cl, NN, 3.0
60594, cm, NN, 3.0
60629, co, NN, 3.0
71564, cp, NN, 3.0
71575, cq, NN, 3.0
71576, cr, NN, 3.0
74135, cs, NN, 3.0
74148, ct, NN, 3.0
74192, cu, NN, 3.0
75681, cv, NN, 3.0
75724, da, NN, 3.0
77163, db, NN, 3.0
77168, dc, NN, 3.0
77176, dd, NN, 3.0
77179, de, NNS, 3.0
83648, dg, NN, 3.0
83729, di, NN, 3.0
83730, dy, NN, 3.0
